id,user_id,item,category,price,state
1,69,88,Garden,68.13,successful
2,155,25,Grocery,75.89,successful
3,560,59,Books,19.7,successful
4,562,95,Games,17.64,successful
5,64,24,Kids,76.08,successful
6,402,88,Movies,42.87,successful
7,319,67,Garden,22.85,successful
8,86,69,Outdoors,25.21,successful
9,585,51,Grocery,34.85,successful
10,297,38,Games,94.6,successful
11,579,49,Baby,49.3,successful
12,283,98,Industrial,41.39,successful
13,437,49,Electronics,56.63,successful
14,319,65,Games,36.71,successful
15,162,35,Jewelery,82.48,successful
16,233,10,Tools,75.18,successful
17,119,84,Computers,46.87,successful
18,487,80,Automotive,69.9,successful
19,16,21,Clothing,98.12,successful
20,263,13,Sports,58.62,successful
21,240,85,Grocery,72.63,successful
22,455,77,Sports,54.32,successful
23,514,47,Industrial,34.04,successful
24,136,88,Computers,58.17,successful
25,337,84,Computers,94.14,successful
26,282,25,Beauty,90.28,successful
27,510,92,Home,2.75,successful
28,312,88,Grocery,7.13,successful
29,223,50,Health,20.32,successful
30,187,11,Health,44.47,successful
31,357,94,Outdoors,98.94,successful
32,320,2,Industrial,70.23,successful
33,439,76,Home,45.06,successful
34,163,72,Shoes,68.01,failed
35,184,53,Sports,37.1,successful
36,318,66,Books,29.25,successful
37,153,17,Industrial,8.78,successful
38,120,49,Shoes,84.59,successful
39,50,36,Automotive,15.9,successful
40,576,18,Industrial,9.46,successful
41,518,56,Jewelery,96.88,successful
42,265,92,Clothing,63.86,successful
43,424,85,Tools,51.26,successful
44,188,79,Tools,56.02,successful
45,264,15,Clothing,83.4,successful
46,506,87,Tools,8.6,successful
47,197,23,Health,89.78,successful
48,488,70,Health,52.13,successful
49,274,69,Baby,96.1,successful
50,423,49,Books,84.25,successful
51,24,47,Kids,84.25,successful
52,366,20,Sports,7.83,successful
53,52,57,Sports,56.19,successful
54,88,78,Health,32.5,successful
55,230,88,Garden,94.11,successful
56,252,45,Tools,90.67,successful
57,534,96,Games,31.77,successful
58,16,70,Shoes,77.31,successful
59,35,9,Jewelery,18.52,successful
60,436,68,Computers,42.28,successful
61,439,85,Tools,31.54,successful
62,203,18,Baby,43.01,successful
63,378,86,Electronics,22.91,successful
64,424,48,Movies,21.06,successful
65,303,25,Baby,93.39,successful
66,115,74,Computers,45.51,successful
67,343,26,Sports,44.23,successful
68,13,8,Computers,39.49,successful
69,598,95,Tools,7.35,successful
70,331,45,Beauty,87.82,successful
71,212,20,Computers,48.53,successful
72,460,54,Grocery,65.48,successful
73,378,15,Automotive,10.07,successful
74,426,56,Tools,62.77,successful
75,297,63,Beauty,21.07,successful
76,536,97,Automotive,12.77,successful
77,445,100,Industrial,92.86,successful
78,545,71,Health,17.38,successful
79,513,35,Automotive,30.57,successful
80,136,40,Sports,41.2,successful
81,97,97,Health,13.75,successful
82,442,33,Beauty,81.37,successful
83,277,88,Sports,93.96,successful
84,532,72,Health,27.14,successful
85,520,86,Kids,1.83,successful
86,24,30,Games,79.78,successful
87,538,11,Industrial,94.73,successful
88,370,58,Toys,87.98,successful
89,120,46,Music,47.58,successful
90,11,45,Books,59.03,successful
91,313,95,Books,21.28,successful
92,370,87,Electronics,26.14,successful
93,94,67,Beauty,24.92,successful
94,511,81,Jewelery,9.26,successful
95,507,73,Jewelery,4.35,successful
96,534,21,Clothing,86.79,successful
97,584,51,Movies,17.63,successful
98,465,22,Games,17.66,successful
99,80,22,Sports,19.7,successful
100,10,3,Jewelery,55.42,successful
101,551,43,Automotive,54.56,failed
102,134,78,Music,17.99,successful
103,260,10,Outdoors,59.68,successful
104,135,28,Baby,87.42,successful
105,91,80,Music,94.3,successful
106,407,73,Games,26.54,successful
107,140,41,Grocery,70.85,successful
108,409,81,Sports,55.13,successful
109,337,93,Movies,63.17,successful
110,40,8,Baby,34.92,successful
111,419,90,Movies,88.64,successful
112,178,89,Computers,10.77,successful
113,183,55,Health,68.88,successful
114,446,36,Music,78.68,successful
115,75,41,Games,66.55,successful
116,53,94,Garden,25.96,successful
117,434,32,Sports,54.9,failed
118,63,38,Toys,17.32,successful
119,57,43,Jewelery,89.81,successful
120,329,89,Grocery,57.75,successful
121,127,2,Toys,99.94,successful
122,599,29,Tools,64.39,successful
123,39,33,Grocery,68.85,successful
124,491,6,Baby,17.69,successful
125,485,64,Automotive,74.35,successful
126,137,35,Toys,73.89,successful
127,118,8,Beauty,50.79,successful
128,2,77,Books,91.98,failed
129,69,91,Electronics,36.48,successful
130,595,37,Tools,25.33,failed
131,156,67,Health,37.3,successful
132,251,39,Tools,32.8,successful
133,496,21,Garden,3.06,successful
134,592,34,Garden,37.41,successful
135,275,7,Grocery,14.12,successful
136,479,64,Outdoors,47.95,successful
137,105,83,Shoes,18.13,failed
138,516,38,Music,73.51,successful
139,225,41,Automotive,47.79,successful
140,63,43,Garden,86.8,successful
141,468,63,Garden,63.95,successful
142,306,19,Shoes,51.68,successful
143,439,45,Electronics,92.35,successful
144,316,68,Electronics,43.79,successful
145,167,18,Clothing,36.46,successful
146,335,53,Movies,50.58,failed
147,347,97,Baby,17.55,successful
148,156,69,Garden,88.4,successful
149,134,58,Automotive,40.59,successful
150,553,5,Shoes,66.62,successful
151,182,60,Automotive,60.52,successful
152,23,80,Electronics,22.13,successful
153,247,2,Toys,4.72,successful
154,383,32,Home,87.25,successful
155,69,11,Grocery,4.7,successful
156,181,34,Books,55.37,successful
157,221,97,Garden,89.0,successful
158,322,55,Movies,25.7,successful
159,508,73,Electronics,12.15,successful
160,465,88,Jewelery,86.5,successful
161,13,67,Industrial,38.87,successful
162,14,59,Health,89.08,successful
163,435,40,Home,91.81,successful
164,558,83,Baby,34.54,successful
165,520,58,Clothing,87.87,successful
166,373,44,Shoes,2.14,successful
167,27,100,Movies,76.37,successful
168,507,26,Books,67.95,successful
169,586,20,Automotive,38.44,successful
170,50,61,Grocery,73.96,successful
171,36,42,Industrial,34.96,successful
172,558,14,Clothing,47.97,successful
173,110,13,Music,65.53,successful
174,549,89,Beauty,81.41,successful
175,116,24,Books,74.52,successful
176,438,26,Games,70.28,successful
177,352,55,Beauty,5.31,successful
178,44,89,Jewelery,4.31,successful
179,149,30,Garden,69.42,successful
180,72,26,Health,40.09,successful
181,447,25,Games,74.7,successful
182,396,42,Jewelery,47.81,failed
183,68,56,Grocery,15.55,successful
184,278,47,Sports,89.15,successful
